Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time,Space
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,,
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_6.qasm,270,9999999,9999999,,45,9999999,8(17.78%),,90(x),52(x),38(42.22%),,180(cx),141(cx),39(21.67%),,5.008305788,5.008305788
./benchmark/BIGD/20QBT_45CYC_.3D1_.1D2_9.qasm,315,9999999,9999999,,45,9999999,26(57.78%),,270(x),36(x),234(86.67%),,45(cx),36(cx),9(20.00%),,0.944506168,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_1.qasm,270,9999999,9999999,,45,9999999,6(13.33%),,0(),0(),0(-),,270(cx),180(cx),90(33.33%),,19.63288546,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_1.qasm,45,9999999,9999999,,45,9999999,23(51.11%),,0(),0(),0(-),,45(cx),26(cx),19(42.22%),,0.184706926,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_5.qasm,270,9999999,9999999,,45,9999999,9(20.00%),,0(),0(),0(-),,270(cx),164(cx),106(39.26%),,15.30846572,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.6D2_7.qasm,450,9999999,9999999,,45,9999999,2(4.44%),,180(x),90(x),90(50.00%),,270(cx),194(cx),76(28.15%),,9.028633833,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_3.qasm,90,9999999,9999999,,45,9999999,28(62.22%),,0(),0(),0(-),,90(cx),54(cx),36(40.00%),,3.514434576,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_6.qasm,90,9999999,9999999,,45,9999999,28(62.22%),,0(),0(),0(-),,90(cx),55(cx),35(38.89%),,2.309029102,5.008305788
./benchmark/BIGD/20QBT_45CYC_.3D1_.2D2_2.qasm,360,9999999,9999999,,45,9999999,21(46.67%),,270(x),64(x),206(76.30%),,90(cx),72(cx),18(20.00%),,2.656625509,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_0.qasm,135,9999999,9999999,,45,9999999,16(35.56%),,0(),0(),0(-),,135(cx),84(cx),51(37.78%),,6.218389988,5.008305788
./benchmark/BIGD/20QBT_45CYC_.7D1_.1D2_0.qasm,675,9999999,9999999,,45,9999999,23(51.11%),,630(x),42(x),588(93.33%),,45(cx),41(cx),4(8.89%),,1.578475952,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_0.qasm,225,9999999,9999999,,45,9999999,14(31.11%),,0(),0(),0(-),,225(cx),127(cx),98(43.56%),,13.81172705,5.008305788
./benchmark/BIGD/20QBT_45CYC_.5D1_.2D2_7.qasm,540,9999999,9999999,,45,9999999,16(35.56%),,450(x),74(x),376(83.56%),,90(cx),81(cx),9(10.00%),,2.579496145,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.2D2_4.qasm,270,9999999,9999999,,45,9999999,19(42.22%),,180(x),64(x),116(64.44%),,90(cx),77(cx),13(14.44%),,2.337826967,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.7D2_7.qasm,405,9999999,9999999,,45,9999999,1(2.22%),,90(x),52(x),38(42.22%),,315(cx),213(cx),102(32.38%),,13.11697531,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_7.qasm,315,9999999,9999999,,45,9999999,5(11.11%),,90(x),48(x),42(46.67%),,225(cx),165(cx),60(26.67%),,6.642539024,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_0.qasm,315,9999999,9999999,,45,9999999,6(13.33%),,90(x),54(x),36(40.00%),,225(cx),156(cx),69(30.67%),,8.075901747,5.008305788
./benchmark/BIGD/20QBT_45CYC_.4D1_.4D2_4.qasm,540,9999999,9999999,,45,9999999,0(-),,360(x),104(x),256(71.11%),,180(cx),144(cx),36(20.00%),,3.733340025,5.008305788
./benchmark/BIGD/20QBT_45CYC_.3D1_.1D2_2.qasm,315,9999999,9999999,,45,9999999,24(53.33%),,270(x),38(x),232(85.93%),,45(cx),29(cx),16(35.56%),,0.901858568,5.008305788
./benchmark/BIGD/20QBT_45CYC_.4D1_.4D2_6.qasm,540,9999999,9999999,,45,9999999,6(13.33%),,360(x),94(x),266(73.89%),,180(cx),137(cx),43(23.89%),,6.279333591,5.008305788
./benchmark/BIGD/20QBT_45CYC_.4D1_.4D2_3.qasm,540,9999999,9999999,,45,9999999,4(8.89%),,360(x),96(x),264(73.33%),,180(cx),127(cx),53(29.44%),,4.410524845,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_3.qasm,225,9999999,9999999,,45,9999999,12(26.67%),,0(),0(),0(-),,225(cx),139(cx),86(38.22%),,15.05289698,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.6D2_6.qasm,450,9999999,9999999,,45,9999999,0(-),,180(x),94(x),86(47.78%),,270(cx),187(cx),83(30.74%),,6.419135094,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.6D2_2.qasm,450,9999999,9999999,,45,9999999,3(6.67%),,180(x),82(x),98(54.44%),,270(cx),182(cx),88(32.59%),,6.418109655,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_5.qasm,135,9999999,9999999,,45,9999999,29(64.44%),,90(x),36(x),54(60.00%),,45(cx),33(cx),12(26.67%),,0.630574226,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.2D2_7.qasm,270,9999999,9999999,,45,9999999,18(40.00%),,180(x),48(x),132(73.33%),,90(cx),77(cx),13(14.44%),,2.926543951,5.008305788
./benchmark/BIGD/20QBT_45CYC_.7D1_.1D2_1.qasm,675,9999999,9999999,,45,9999999,21(46.67%),,630(x),42(x),588(93.33%),,45(cx),38(cx),7(15.56%),,1.730752707,5.008305788
./benchmark/BIGD/20QBT_45CYC_.3D1_.2D2_6.qasm,360,9999999,9999999,,45,9999999,20(44.44%),,270(x),48(x),222(82.22%),,90(cx),74(cx),16(17.78%),,1.733584642,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.6D2_6.qasm,360,9999999,9999999,,45,9999999,4(8.89%),,90(x),58(x),32(35.56%),,270(cx),185(cx),85(31.48%),,8.313416719,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_8.qasm,90,9999999,9999999,,45,9999999,21(46.67%),,0(),0(),0(-),,90(cx),62(cx),28(31.11%),,2.74629426,5.008305788
./benchmark/BIGD/20QBT_45CYC_.3D1_.4D2_8.qasm,450,9999999,9999999,,45,9999999,3(6.67%),,270(x),112(x),158(58.52%),,180(cx),151(cx),29(16.11%),,6.338933706,5.008305788
./benchmark/BIGD/20QBT_45CYC_.3D1_.2D2_1.qasm,360,9999999,9999999,,45,9999999,21(46.67%),,270(x),70(x),200(74.07%),,90(cx),77(cx),13(14.44%),,3.049264669,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_4.qasm,135,9999999,9999999,,45,9999999,19(42.22%),,0(),0(),0(-),,135(cx),87(cx),48(35.56%),,4.901241779,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.6D2_7.qasm,360,9999999,9999999,,45,9999999,3(6.67%),,90(x),56(x),34(37.78%),,270(cx),183(cx),87(32.22%),,10.24027371,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_0.qasm,90,9999999,9999999,,45,9999999,25(55.56%),,0(),0(),0(-),,90(cx),55(cx),35(38.89%),,2.273444176,5.008305788
./benchmark/BIGD/20QBT_45CYC_.3D1_.5D2_0.qasm,495,9999999,9999999,,45,9999999,-2(-4.44%),,270(x),106(x),164(60.74%),,225(cx),170(cx),55(24.44%),,4.782209873,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.6D2_4.qasm,360,9999999,9999999,,45,9999999,5(11.11%),,90(x),50(x),40(44.44%),,270(cx),176(cx),94(34.81%),,9.953733206,5.008305788
./benchmark/BIGD/20QBT_45CYC_.3D1_.5D2_8.qasm,495,9999999,9999999,,45,9999999,-1(-2.22%),,270(x),92(x),178(65.93%),,225(cx),153(cx),72(32.00%),,6.126585722,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.3D2_7.qasm,315,9999999,9999999,,45,9999999,14(31.11%),,180(x),60(x),120(66.67%),,135(cx),113(cx),22(16.30%),,5.216846943,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_8.qasm,315,9999999,9999999,,45,9999999,7(15.56%),,0(),0(),0(-),,315(cx),186(cx),129(40.95%),,21.77950215,5.008305788
./benchmark/BIGD/20QBT_45CYC_.4D1_.2D2_1.qasm,450,9999999,9999999,,45,9999999,17(37.78%),,360(x),72(x),288(80.00%),,90(cx),76(cx),14(15.56%),,2.350943804,5.008305788
./benchmark/BIGD/20QBT_45CYC_.5D1_.3D2_7.qasm,585,9999999,9999999,,45,9999999,5(11.11%),,450(x),86(x),364(80.89%),,135(cx),110(cx),25(18.52%),,3.763599157,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_4.qasm,180,9999999,9999999,,45,9999999,19(42.22%),,90(x),52(x),38(42.22%),,90(cx),78(cx),12(13.33%),,2.478892565,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_9.qasm,135,9999999,9999999,,45,9999999,30(66.67%),,0(),0(),0(-),,135(cx),45(cx),90(66.67%),,4.606126547,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.4D2_4.qasm,360,9999999,9999999,,45,9999999,11(24.44%),,180(x),80(x),100(55.56%),,180(cx),137(cx),43(23.89%),,4.998515368,5.008305788
./benchmark/BIGD/20QBT_45CYC_.3D1_.3D2_9.qasm,405,9999999,9999999,,45,9999999,11(24.44%),,270(x),86(x),184(68.15%),,135(cx),112(cx),23(17.04%),,4.705858469,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.5D2_6.qasm,405,9999999,9999999,,45,9999999,2(4.44%),,180(x),100(x),80(44.44%),,225(cx),171(cx),54(24.00%),,6.7358253,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.2D2_3.qasm,270,9999999,9999999,,45,9999999,15(33.33%),,180(x),54(x),126(70.00%),,90(cx),68(cx),22(24.44%),,2.07776165,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_8.qasm,270,9999999,9999999,,45,9999999,7(15.56%),,0(),0(),0(-),,270(cx),153(cx),117(43.33%),,14.25037956,5.008305788
./benchmark/BIGD/20QBT_45CYC_.4D1_.3D2_2.qasm,495,9999999,9999999,,45,9999999,8(17.78%),,360(x),80(x),280(77.78%),,135(cx),112(cx),23(17.04%),,3.749193192,5.008305788
./benchmark/BIGD/20QBT_45CYC_.5D1_.3D2_1.qasm,585,9999999,9999999,,45,9999999,11(24.44%),,450(x),98(x),352(78.22%),,135(cx),107(cx),28(20.74%),,3.518084764,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_5.qasm,315,9999999,9999999,,45,9999999,8(17.78%),,90(x),60(x),30(33.33%),,225(cx),163(cx),62(27.56%),,8.389345646,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_7.qasm,135,9999999,9999999,,45,9999999,19(42.22%),,0(),0(),0(-),,135(cx),80(cx),55(40.74%),,6.029978514,5.008305788
./benchmark/BIGD/20QBT_45CYC_.5D1_.3D2_2.qasm,585,9999999,9999999,,45,9999999,10(22.22%),,450(x),78(x),372(82.67%),,135(cx),104(cx),31(22.96%),,4.440368414,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_3.qasm,360,9999999,9999999,,45,9999999,0(-),,0(),0(),0(-),,360(cx),202(cx),158(43.89%),,24.08691311,5.008305788
./benchmark/BIGD/20QBT_45CYC_.7D1_.1D2_2.qasm,675,9999999,9999999,,45,9999999,25(55.56%),,630(x),36(x),594(94.29%),,45(cx),35(cx),10(22.22%),,1.654940844,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_4.qasm,225,9999999,9999999,,45,9999999,16(35.56%),,90(x),48(x),42(46.67%),,135(cx),112(cx),23(17.04%),,2.358116865,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.4D2_8.qasm,360,9999999,9999999,,45,9999999,9(20.00%),,180(x),72(x),108(60.00%),,180(cx),134(cx),46(25.56%),,5.311083794,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.7D2_1.qasm,405,9999999,9999999,,45,9999999,1(2.22%),,90(x),58(x),32(35.56%),,315(cx),190(cx),125(39.68%),,11.65623093,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.2D2_5.qasm,270,9999999,9999999,,45,9999999,20(44.44%),,180(x),54(x),126(70.00%),,90(cx),74(cx),16(17.78%),,2.229939938,5.008305788
./benchmark/BIGD/20QBT_45CYC_.3D1_.3D2_2.qasm,405,9999999,9999999,,45,9999999,12(26.67%),,270(x),92(x),178(65.93%),,135(cx),111(cx),24(17.78%),,3.456562042,5.008305788
./benchmark/BIGD/20QBT_45CYC_.3D1_.4D2_7.qasm,450,9999999,9999999,,45,9999999,7(15.56%),,270(x),100(x),170(62.96%),,180(cx),136(cx),44(24.44%),,4.881491661,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.5D2_7.qasm,405,9999999,9999999,,45,9999999,3(6.67%),,180(x),86(x),94(52.22%),,225(cx),165(cx),60(26.67%),,5.182420969,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_4.qasm,270,9999999,9999999,,45,9999999,4(8.89%),,0(),0(),0(-),,270(cx),171(cx),99(36.67%),,15.61278152,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_3.qasm,135,9999999,9999999,,45,9999999,24(53.33%),,90(x),26(x),64(71.11%),,45(cx),32(cx),13(28.89%),,0.687888145,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_5.qasm,90,9999999,9999999,,45,9999999,28(62.22%),,0(),0(),0(-),,90(cx),54(cx),36(40.00%),,3.418092012,5.008305788
./benchmark/BIGD/20QBT_45CYC_.5D1_.2D2_3.qasm,540,9999999,9999999,,45,9999999,20(44.44%),,450(x),78(x),372(82.67%),,90(cx),82(cx),8(8.89%),,3.235528708,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.1D2_0.qasm,225,9999999,9999999,,45,9999999,26(57.78%),,180(x),32(x),148(82.22%),,45(cx),35(cx),10(22.22%),,0.904855251,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_9.qasm,270,9999999,9999999,,45,9999999,6(13.33%),,0(),0(),0(-),,270(cx),180(cx),90(33.33%),,12.68752289,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.3D2_5.qasm,315,9999999,9999999,,45,9999999,14(31.11%),,180(x),70(x),110(61.11%),,135(cx),100(cx),35(25.93%),,3.542927027,5.008305788
./benchmark/BIGD/20QBT_45CYC_.5D1_.2D2_5.qasm,540,9999999,9999999,,45,9999999,18(40.00%),,450(x),70(x),380(84.44%),,90(cx),76(cx),14(15.56%),,2.485735416,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.5D2_0.qasm,405,9999999,9999999,,45,9999999,0(-),,180(x),84(x),96(53.33%),,225(cx),178(cx),47(20.89%),,7.686395407,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_8.qasm,315,9999999,9999999,,45,9999999,8(17.78%),,90(x),56(x),34(37.78%),,225(cx),168(cx),57(25.33%),,10.93861485,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_9.qasm,180,9999999,9999999,,45,9999999,15(33.33%),,0(),0(),0(-),,180(cx),105(cx),75(41.67%),,8.743591785,5.008305788
./benchmark/BIGD/20QBT_45CYC_.4D1_.3D2_3.qasm,495,9999999,9999999,,45,9999999,7(15.56%),,360(x),74(x),286(79.44%),,135(cx),115(cx),20(14.81%),,3.782212973,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_1.qasm,180,9999999,9999999,,45,9999999,15(33.33%),,0(),0(),0(-),,180(cx),104(cx),76(42.22%),,8.938308716,5.008305788
./benchmark/BIGD/20QBT_45CYC_.5D1_.2D2_9.qasm,540,9999999,9999999,,45,9999999,20(44.44%),,450(x),72(x),378(84.00%),,90(cx),79(cx),11(12.22%),,2.479537964,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_1.qasm,270,9999999,9999999,,45,9999999,6(13.33%),,90(x),52(x),38(42.22%),,180(cx),140(cx),40(22.22%),,4.832481623,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.1D2_8.qasm,225,9999999,9999999,,45,9999999,20(44.44%),,180(x),28(x),152(84.44%),,45(cx),31(cx),14(31.11%),,0.998206615,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_7.qasm,315,9999999,9999999,,45,9999999,7(15.56%),,0(),0(),0(-),,315(cx),181(cx),134(42.54%),,17.17991042,5.008305788
./benchmark/BIGD/20QBT_45CYC_.5D1_.3D2_4.qasm,585,9999999,9999999,,45,9999999,11(24.44%),,450(x),76(x),374(83.11%),,135(cx),108(cx),27(20.00%),,4.697652102,5.008305788
./benchmark/BIGD/20QBT_45CYC_.3D1_.3D2_6.qasm,405,9999999,9999999,,45,9999999,11(24.44%),,270(x),82(x),188(69.63%),,135(cx),113(cx),22(16.30%),,3.674233437,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.3D2_1.qasm,315,9999999,9999999,,45,9999999,16(35.56%),,180(x),68(x),112(62.22%),,135(cx),98(cx),37(27.41%),,3.417551041,5.008305788
./benchmark/BIGD/20QBT_45CYC_.5D1_.3D2_6.qasm,585,9999999,9999999,,45,9999999,10(22.22%),,450(x),88(x),362(80.44%),,135(cx),115(cx),20(14.81%),,3.788162708,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.1D2_6.qasm,225,9999999,9999999,,45,9999999,25(55.56%),,180(x),42(x),138(76.67%),,45(cx),37(cx),8(17.78%),,0.734091282,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_6.qasm,225,9999999,9999999,,45,9999999,17(37.78%),,90(x),40(x),50(55.56%),,135(cx),92(cx),43(31.85%),,4.802744865,5.008305788
./benchmark/BIGD/20QBT_45CYC_.6D1_.1D2_1.qasm,585,9999999,9999999,,45,9999999,16(35.56%),,540(x),36(x),504(93.33%),,45(cx),38(cx),7(15.56%),,1.613483906,5.008305788
./benchmark/BIGD/20QBT_45CYC_.3D1_.1D2_3.qasm,315,9999999,9999999,,45,9999999,26(57.78%),,270(x),34(x),236(87.41%),,45(cx),34(cx),11(24.44%),,1.187602282,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_6.qasm,135,9999999,9999999,,45,9999999,20(44.44%),,0(),0(),0(-),,135(cx),84(cx),51(37.78%),,6.021754742,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_1.qasm,180,9999999,9999999,,45,9999999,8(17.78%),,90(x),42(x),48(53.33%),,90(cx),80(cx),10(11.11%),,1.846831799,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_5.qasm,45,9999999,9999999,,45,9999999,38(84.44%),,0(),0(),0(-),,45(cx),15(cx),30(66.67%),,0.096673012,5.008305788
./benchmark/BIGD/20QBT_45CYC_.3D1_.5D2_7.qasm,495,9999999,9999999,,45,9999999,4(8.89%),,270(x),102(x),168(62.22%),,225(cx),167(cx),58(25.78%),,6.367124796,5.008305788
./benchmark/BIGD/20QBT_45CYC_.4D1_.3D2_1.qasm,495,9999999,9999999,,45,9999999,15(33.33%),,360(x),72(x),288(80.00%),,135(cx),91(cx),44(32.59%),,3.872307062,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_6.qasm,360,9999999,9999999,,45,9999999,1(2.22%),,0(),0(),0(-),,360(cx),202(cx),158(43.89%),,19.91087437,5.008305788
./benchmark/BIGD/20QBT_45CYC_.5D1_.1D2_9.qasm,495,9999999,9999999,,45,9999999,29(64.44%),,450(x),46(x),404(89.78%),,45(cx),37(cx),8(17.78%),,1.284627914,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_1.qasm,225,9999999,9999999,,45,9999999,11(24.44%),,0(),0(),0(-),,225(cx),121(cx),104(46.22%),,8.90863061,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_9.qasm,270,9999999,9999999,,45,9999999,14(31.11%),,90(x),46(x),44(48.89%),,180(cx),117(cx),63(35.00%),,5.694659472,5.008305788
./benchmark/BIGD/20QBT_45CYC_.4D1_.2D2_7.qasm,450,9999999,9999999,,45,9999999,14(31.11%),,360(x),76(x),284(78.89%),,90(cx),80(cx),10(11.11%),,2.410084248,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_7.qasm,180,9999999,9999999,,45,9999999,11(24.44%),,0(),0(),0(-),,180(cx),117(cx),63(35.00%),,9.699956656,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.6D2_1.qasm,450,9999999,9999999,,45,9999999,1(2.22%),,180(x),84(x),96(53.33%),,270(cx),177(cx),93(34.44%),,5.989162683,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_1.qasm,315,9999999,9999999,,45,9999999,8(17.78%),,90(x),46(x),44(48.89%),,225(cx),150(cx),75(33.33%),,7.99242568,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_0.qasm,180,9999999,9999999,,45,9999999,20(44.44%),,0(),0(),0(-),,180(cx),109(cx),71(39.44%),,9.159017324,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_9.qasm,135,9999999,9999999,,45,9999999,29(64.44%),,90(x),28(x),62(68.89%),,45(cx),30(cx),15(33.33%),,0.680747271,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_9.qasm,225,9999999,9999999,,45,9999999,15(33.33%),,90(x),42(x),48(53.33%),,135(cx),102(cx),33(24.44%),,4.130390882,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_8.qasm,270,9999999,9999999,,45,9999999,12(26.67%),,90(x),46(x),44(48.89%),,180(cx),125(cx),55(30.56%),,5.878638029,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_0.qasm,180,9999999,9999999,,45,9999999,19(42.22%),,90(x),40(x),50(55.56%),,90(cx),71(cx),19(21.11%),,1.879597902,5.008305788
./benchmark/BIGD/20QBT_45CYC_.5D1_.3D2_8.qasm,585,9999999,9999999,,45,9999999,9(20.00%),,450(x),78(x),372(82.67%),,135(cx),108(cx),27(20.00%),,4.612734318,5.008305788
./benchmark/BIGD/20QBT_45CYC_.5D1_.1D2_3.qasm,495,9999999,9999999,,45,9999999,26(57.78%),,450(x),32(x),418(92.89%),,45(cx),36(cx),9(20.00%),,1.485727549,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_6.qasm,225,9999999,9999999,,45,9999999,8(17.78%),,0(),0(),0(-),,225(cx),142(cx),83(36.89%),,14.93004727,5.008305788
./benchmark/BIGD/20QBT_45CYC_.3D1_.5D2_6.qasm,495,9999999,9999999,,45,9999999,3(6.67%),,270(x),96(x),174(64.44%),,225(cx),151(cx),74(32.89%),,7.23255372,5.008305788
./benchmark/BIGD/20QBT_45CYC_.6D1_.2D2_2.qasm,630,9999999,9999999,,45,9999999,15(33.33%),,540(x),62(x),478(88.52%),,90(cx),74(cx),16(17.78%),,3.033553839,5.008305788
./benchmark/BIGD/20QBT_45CYC_.3D1_.3D2_4.qasm,405,9999999,9999999,,45,9999999,12(26.67%),,270(x),86(x),184(68.15%),,135(cx),106(cx),29(21.48%),,3.46722436,5.008305788
./benchmark/BIGD/20QBT_45CYC_.4D1_.4D2_7.qasm,540,9999999,9999999,,45,9999999,7(15.56%),,360(x),98(x),262(72.78%),,180(cx),143(cx),37(20.56%),,4.945635319,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_9.qasm,360,9999999,9999999,,45,9999999,1(2.22%),,0(),0(),0(-),,360(cx),210(cx),150(41.67%),,24.45247269,5.008305788
./benchmark/BIGD/20QBT_45CYC_.6D1_.2D2_3.qasm,630,9999999,9999999,,45,9999999,16(35.56%),,540(x),54(x),486(90.00%),,90(cx),59(cx),31(34.44%),,2.239723921,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_0.qasm,225,9999999,9999999,,45,9999999,15(33.33%),,90(x),46(x),44(48.89%),,135(cx),100(cx),35(25.93%),,3.233700275,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.4D2_5.qasm,360,9999999,9999999,,45,9999999,4(8.89%),,180(x),82(x),98(54.44%),,180(cx),150(cx),30(16.67%),,4.348671675,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.2D2_9.qasm,270,9999999,9999999,,45,9999999,21(46.67%),,180(x),44(x),136(75.56%),,90(cx),63(cx),27(30.00%),,1.908726931,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.7D2_5.qasm,405,9999999,9999999,,45,9999999,4(8.89%),,90(x),64(x),26(28.89%),,315(cx),205(cx),110(34.92%),,9.622885704,5.008305788
